SAVED BY: 
TITLE: 
COMMENTS: 
DATE: 10/27/2020
TIME: 3:19 PM

STIMULUS, RESPONSE

8.560000E+6,  1.635104E-4
8.566250E+6,  1.725182E-4
8.572500E+6,  1.758710E-4
8.578750E+6,  1.723915E-4
8.585000E+6,  1.585335E-4
8.591250E+6,  1.893789E-4
8.597500E+6,  1.813397E-4
8.603750E+6,  1.711324E-4
8.610000E+6,  1.947358E-4
8.616250E+6,  1.827702E-4
8.622500E+6,  1.910254E-4
8.628750E+6,  1.599416E-4
8.635000E+6,  1.778752E-4
8.641250E+6,  1.785904E-4
8.647500E+6,  1.700222E-4
8.653750E+6,  1.822636E-4
8.660000E+6,  1.723692E-4
8.666250E+6,  1.993701E-4
8.672500E+6,  1.807883E-4
8.678750E+6,  1.936778E-4
8.685000E+6,  1.761839E-4
8.691250E+6,  2.005547E-4
8.697500E+6,  1.625121E-4
8.703750E+6,  1.962185E-4
8.710000E+6,  1.841113E-4
8.716250E+6,  1.895055E-4
8.722500E+6,  1.919195E-4
8.728750E+6,  1.838133E-4
8.735000E+6,  1.673102E-4
8.741250E+6,  1.829341E-4
8.747500E+6,  1.751781E-4
8.753750E+6,  1.887605E-4
8.760000E+6,  1.662076E-4
8.766250E+6,  1.851693E-4
8.772500E+6,  1.830161E-4
8.778750E+6,  1.878962E-4
8.785000E+6,  1.642928E-4
8.791250E+6,  1.919717E-4
8.797500E+6,  1.836941E-4
8.803750E+6,  1.809597E-4
8.810000E+6,  1.943335E-4
8.816250E+6,  1.945049E-4
8.822500E+6,  1.965985E-4
8.828750E+6,  1.926571E-4
8.835000E+6,  1.948476E-4
8.841250E+6,  1.850426E-4
8.847500E+6,  1.859143E-4
8.853750E+6,  2.053380E-4
8.860000E+6,  2.053231E-4
8.866250E+6,  1.992881E-4
8.872500E+6,  1.983866E-4
8.878750E+6,  1.693368E-4
8.885000E+6,  1.906753E-4
8.891250E+6,  1.984164E-4
8.897500E+6,  1.761541E-4
8.903750E+6,  2.081543E-4
8.910000E+6,  1.946762E-4
8.916250E+6,  1.956373E-4
8.922500E+6,  1.818687E-4
8.928750E+6,  2.009794E-4
8.935000E+6,  1.946837E-4
8.941250E+6,  2.199039E-4
8.947500E+6,  2.135411E-4
8.953750E+6,  1.850352E-4
8.960000E+6,  2.014264E-4
8.966250E+6,  2.075359E-4
8.972500E+6,  2.164915E-4
8.978750E+6,  2.051890E-4
8.985000E+6,  2.105087E-4
8.991250E+6,  2.134666E-4
8.997500E+6,  2.067685E-4
9.003750E+6,  1.994297E-4
9.010000E+6,  1.791641E-4
9.016250E+6,  2.017170E-4
9.022500E+6,  2.040416E-4
9.028750E+6,  2.233163E-4
9.035000E+6,  2.103522E-4
9.041250E+6,  2.015084E-4
9.047500E+6,  2.007335E-4
9.053750E+6,  1.996160E-4
9.060000E+6,  2.103373E-4
9.066250E+6,  2.133474E-4
9.072500E+6,  2.044514E-4
9.078750E+6,  1.978576E-4
9.085000E+6,  1.859665E-4
9.091250E+6,  2.277642E-4
9.097500E+6,  2.105981E-4
9.103750E+6,  2.138019E-4
9.110000E+6,  2.241358E-4
9.116250E+6,  2.234578E-4
9.122500E+6,  2.078265E-4
9.128750E+6,  2.168939E-4
9.135000E+6,  2.138093E-4
9.141250E+6,  2.200231E-4
9.147500E+6,  2.168715E-4
9.153750E+6,  2.054870E-4
9.160000E+6,  1.979470E-4
9.166250E+6,  2.039298E-4
9.172500E+6,  2.201647E-4
9.178750E+6,  2.200380E-4
9.185000E+6,  2.073869E-4
9.191250E+6,  2.200082E-4
9.197500E+6,  2.078786E-4
9.203750E+6,  2.167150E-4
9.210000E+6,  2.297387E-4
9.216250E+6,  2.169684E-4
9.222500E+6,  2.168864E-4
9.228750E+6,  2.237856E-4
9.235000E+6,  2.202615E-4
9.241250E+6,  2.326593E-4
9.247500E+6,  2.293810E-4
9.253750E+6,  2.169013E-4
9.260000E+6,  2.303496E-4
9.266250E+6,  2.389699E-4
9.272500E+6,  2.233535E-4
9.278750E+6,  2.201423E-4
9.285000E+6,  2.158955E-4
9.291250E+6,  2.299398E-4
9.297500E+6,  2.235845E-4
9.303750E+6,  2.393946E-4
9.310000E+6,  2.394617E-4
9.316250E+6,  2.174973E-4
9.322500E+6,  2.297014E-4
9.328750E+6,  2.332032E-4
9.335000E+6,  2.265424E-4
9.341250E+6,  2.423674E-4
9.347500E+6,  2.271980E-4
9.353750E+6,  2.393648E-4
9.360000E+6,  2.366900E-4
9.366250E+6,  2.549887E-4
9.372500E+6,  2.317280E-4
9.378750E+6,  2.426803E-4
9.385000E+6,  2.486110E-4
9.391250E+6,  2.581030E-4
9.397500E+6,  2.431273E-4
9.403750E+6,  2.525598E-4
9.410000E+6,  2.455860E-4
9.416250E+6,  2.519339E-4
9.422500E+6,  2.309158E-4
9.428750E+6,  2.518743E-4
9.435000E+6,  2.490133E-4
9.441250E+6,  2.552718E-4
9.447500E+6,  2.332404E-4
9.453750E+6,  2.506077E-4
9.460000E+6,  2.409071E-4
9.466250E+6,  2.459437E-4
9.472500E+6,  2.400801E-4
9.478750E+6,  2.615750E-4
9.485000E+6,  2.467036E-4
9.491250E+6,  2.583116E-4
9.497500E+6,  2.520680E-4
9.503750E+6,  2.644956E-4
9.510000E+6,  2.333149E-4
9.516250E+6,  2.533495E-4
9.522500E+6,  2.461672E-4
9.528750E+6,  2.783239E-4
9.535000E+6,  2.409741E-4
9.541250E+6,  2.486408E-4
9.547500E+6,  2.557635E-4
9.553750E+6,  2.592653E-4
9.560000E+6,  2.464950E-4
9.566250E+6,  2.526641E-4
9.572500E+6,  2.522022E-4
9.578750E+6,  2.714992E-4
9.585000E+6,  2.569854E-4
9.591250E+6,  2.560765E-4
9.597500E+6,  2.420247E-4
9.603750E+6,  2.659559E-4
9.610000E+6,  2.750754E-4
9.616250E+6,  2.627969E-4
9.622500E+6,  2.610385E-4
9.628750E+6,  2.603680E-4
9.635000E+6,  2.545714E-4
9.641250E+6,  2.775192E-4
9.647500E+6,  2.577454E-4
9.653750E+6,  2.782643E-4
9.660000E+6,  2.676994E-4
9.666250E+6,  2.885610E-4
9.672500E+6,  2.488196E-4
9.678750E+6,  2.844483E-4
9.685000E+6,  2.652109E-4
9.691250E+6,  2.655089E-4
9.697500E+6,  2.751946E-4
9.703750E+6,  2.723634E-4
9.710000E+6,  2.949834E-4
9.716250E+6,  2.767742E-4
9.722500E+6,  2.749264E-4
9.728750E+6,  2.665967E-4
9.735000E+6,  2.853274E-4
9.741250E+6,  2.892315E-4
9.747500E+6,  2.827942E-4
9.753750E+6,  2.860278E-4
9.760000E+6,  2.728999E-4
9.766250E+6,  2.815574E-4
9.772500E+6,  2.749413E-4
9.778750E+6,  2.803653E-4
9.785000E+6,  2.884269E-4
9.791250E+6,  2.919734E-4
9.797500E+6,  2.872646E-4
9.803750E+6,  2.918541E-4
9.810000E+6,  2.921522E-4
9.816250E+6,  2.920628E-4
9.822500E+6,  2.750456E-4
9.828750E+6,  2.919883E-4
9.835000E+6,  2.994239E-4
9.841250E+6,  2.922863E-4
9.847500E+6,  2.900958E-4
9.853750E+6,  3.039390E-4
9.860000E+6,  2.686232E-4
9.866250E+6,  2.711713E-4
9.872500E+6,  2.973676E-4
