SAVED BY: 
TITLE: 
COMMENTS: 
DATE: 10/27/2020
TIME: 3:39 PM

STIMULUS, REAL, IMAGINARY

8.560000E+6,    -2.239645E-5,    -1.595914E-4
8.566250E+6,    -7.882714E-6,    -1.337305E-4
8.572500E+6,    -1.955032E-5,    -1.747757E-4
8.578750E+6,    4.999340E-6,    -1.723617E-4
8.585000E+6,    -1.661479E-6,    -1.867786E-4
8.591250E+6,    7.696450E-6,    -1.876578E-4
8.597500E+6,    -1.196563E-5,    -1.857504E-4
8.603750E+6,    -1.582503E-5,    -1.925752E-4
8.610000E+6,    -1.837313E-5,    -1.674667E-4
8.616250E+6,    -2.600253E-6,    -1.543239E-4
8.622500E+6,    -1.584738E-5,    -1.825988E-4
8.628750E+6,    6.690621E-6,    -1.778230E-4
8.635000E+6,    -1.119077E-5,    -1.782179E-4
8.641250E+6,    -2.093613E-5,    -1.771748E-4
8.647500E+6,    -1.089275E-5,    -1.907349E-4
8.653750E+6,    1.192093E-7,    -1.822561E-4
8.660000E+6,    -2.388656E-5,    -1.867041E-4
8.666250E+6,    -2.036244E-5,    -1.922250E-4
8.672500E+6,    -2.539903E-5,    -1.741126E-4
8.678750E+6,    -2.266467E-5,    -1.669750E-4
8.685000E+6,    -1.505017E-5,    -1.654997E-4
8.691250E+6,    -6.183982E-7,    -1.851320E-4
8.697500E+6,    -2.720952E-5,    -1.738146E-4
8.703750E+6,    -7.450581E-8,    -1.751706E-4
8.710000E+6,    -3.650784E-5,    -1.851693E-4
8.716250E+6,    -1.511723E-5,    -1.906902E-4
8.722500E+6,    -1.653284E-5,    -1.781806E-4
8.728750E+6,    -7.495284E-6,    -1.794994E-4
8.735000E+6,    -1.266599E-5,    -1.962855E-4
8.741250E+6,    -1.218170E-5,    -1.739189E-4
8.747500E+6,    -3.477931E-5,    -1.901686E-4
8.753750E+6,    -3.970414E-5,    -1.844168E-4
8.760000E+6,    1.193583E-5,    -1.853555E-4
8.766250E+6,    -2.183020E-6,    -1.779720E-4
8.772500E+6,    -2.155453E-5,    -1.875535E-4
8.778750E+6,    -1.237541E-5,    -1.890510E-4
8.785000E+6,    -1.610816E-5,    -1.958385E-4
8.791250E+6,    -2.623349E-5,    -2.069622E-4
8.797500E+6,    -2.142042E-5,    -1.774728E-4
8.803750E+6,    -1.568347E-5,    -2.112761E-4
8.810000E+6,    -3.407151E-5,    -1.727119E-4
8.816250E+6,    -2.775341E-5,    -2.066568E-4
8.822500E+6,    -2.114475E-5,    -1.803488E-4
8.828750E+6,    -1.753122E-5,    -1.986027E-4
8.835000E+6,    -2.371520E-5,    -1.897588E-4
8.841250E+6,    -2.248585E-5,    -1.924708E-4
8.847500E+6,    -1.515448E-5,    -1.791865E-4
8.853750E+6,    -1.817942E-6,    -1.868233E-4
8.860000E+6,    -3.106892E-5,    -1.934841E-4
8.866250E+6,    -2.581626E-5,    -1.767501E-4
8.872500E+6,    -2.633035E-5,    -2.019554E-4
8.878750E+6,    -3.993511E-6,    -2.118871E-4
8.885000E+6,    -2.144277E-5,    -1.855344E-4
8.891250E+6,    -2.609193E-5,    -2.175570E-4
8.897500E+6,    -1.845509E-5,    -1.911744E-4
8.903750E+6,    -3.302097E-5,    -1.960024E-4
8.910000E+6,    -1.117587E-5,    -1.906306E-4
8.916250E+6,    -1.977384E-5,    -2.040565E-4
8.922500E+6,    -2.429634E-5,    -1.978800E-4
8.928750E+6,    -1.362711E-5,    -2.155900E-4
8.935000E+6,    -2.711266E-5,    -1.950711E-4
8.941250E+6,    -3.156811E-5,    -2.015904E-4
8.947500E+6,    -1.417845E-5,    -1.905337E-4
8.953750E+6,    -1.316518E-5,    -1.932755E-4
8.960000E+6,    -1.158565E-5,    -2.089292E-4
8.966250E+6,    -1.407415E-5,    -2.059117E-4
8.972500E+6,    -2.001971E-5,    -1.969337E-4
8.978750E+6,    -2.264977E-5,    -1.936629E-4
8.985000E+6,    -2.162904E-5,    -2.095103E-4
8.991250E+6,    -2.948940E-5,    -2.102256E-4
8.997500E+6,    -3.773719E-5,    -1.976863E-4
9.003750E+6,    -2.138317E-5,    -2.123043E-4
9.010000E+6,    -1.899153E-5,    -2.025887E-4
9.016250E+6,    -2.456456E-5,    -1.936629E-4
9.022500E+6,    -3.425777E-5,    -2.065897E-4
9.028750E+6,    -2.488494E-6,    -2.205968E-4
9.035000E+6,    -4.473329E-5,    -2.037585E-4
9.041250E+6,    -1.613051E-5,    -2.116710E-4
9.047500E+6,    -1.336634E-5,    -1.893789E-4
9.053750E+6,    -2.416968E-5,    -1.992062E-4
9.060000E+6,    -3.235042E-5,    -1.995116E-4
9.066250E+6,    -3.716350E-5,    -2.060682E-4
9.072500E+6,    -2.059340E-5,    -2.084523E-4
9.078750E+6,    -2.424419E-5,    -2.305806E-4
