SAVED BY: 
TITLE: 
COMMENTS: 
DATE: 10/27/2020
TIME: 12:56 PM

STIMULUS, RESPONSE

8.560000E+6,  1.337677E-4
8.566250E+6,  1.286343E-4
8.572500E+6,  1.488924E-4
8.578750E+6,  1.429841E-4
8.585000E+6,  1.413822E-4
8.591250E+6,  1.443923E-4
8.597500E+6,  1.487955E-4
8.603750E+6,  1.449361E-4
8.610000E+6,  1.178421E-4
8.616250E+6,  1.196228E-4
8.622500E+6,  1.525655E-4
8.628750E+6,  1.363829E-4
8.635000E+6,  1.488477E-4
8.641250E+6,  1.462996E-4
8.647500E+6,  1.471266E-4
8.653750E+6,  1.401529E-4
8.660000E+6,  1.428500E-4
8.666250E+6,  1.563579E-4
8.672500E+6,  1.490116E-4
8.678750E+6,  1.439005E-4
8.685000E+6,  1.445115E-4
8.691250E+6,  1.636446E-4
8.697500E+6,  1.543537E-4
8.703750E+6,  1.543611E-4
8.710000E+6,  1.488253E-4
8.716250E+6,  1.487508E-4
8.722500E+6,  1.459196E-4
8.728750E+6,  1.430362E-4
8.735000E+6,  1.440570E-4
8.741250E+6,  1.393259E-4
8.747500E+6,  1.488924E-4
8.753750E+6,  1.389980E-4
8.760000E+6,  1.351237E-4
8.766250E+6,  1.381934E-4
8.772500E+6,  1.570955E-4
8.778750E+6,  1.684427E-4
8.785000E+6,  1.262948E-4
8.791250E+6,  1.683906E-4
8.797500E+6,  1.486242E-4
8.803750E+6,  1.643002E-4
8.810000E+6,  1.556724E-4
8.816250E+6,  1.401901E-4
8.822500E+6,  1.513436E-4
8.828750E+6,  1.769289E-4
8.835000E+6,  1.459122E-4
8.841250E+6,  1.527146E-4
8.847500E+6,  1.462922E-4
8.853750E+6,  1.390874E-4
8.860000E+6,  1.642331E-4
8.866250E+6,  1.635626E-4
8.872500E+6,  1.590401E-4
8.878750E+6,  1.536682E-4
8.885000E+6,  1.403987E-4
8.891250E+6,  1.654252E-4
8.897500E+6,  1.459122E-4
8.903750E+6,  1.590624E-4
8.910000E+6,  1.670644E-4
8.916250E+6,  1.547635E-4
8.922500E+6,  1.564100E-4
8.928750E+6,  1.546666E-4
8.935000E+6,  1.664385E-4
8.941250E+6,  1.494288E-4
8.947500E+6,  1.684278E-4
8.953750E+6,  1.558438E-4
8.960000E+6,  1.572222E-4
8.966250E+6,  1.545772E-4
8.972500E+6,  1.743212E-4
8.978750E+6,  1.615137E-4
8.985000E+6,  1.600459E-4
8.991250E+6,  1.538992E-4
8.997500E+6,  1.571327E-4
9.003750E+6,  1.519173E-4
