SAVED BY: 
TITLE: 
COMMENTS: 
DATE: 10/27/2020
TIME: 3:06 PM

STIMULUS, REAL, IMAGINARY

8.560000E+6,    8.210540E-6,    -1.118481E-4
8.566250E+6,    -6.407499E-7,    -1.296252E-4
8.572500E+6,    -1.225621E-5,    -1.184568E-4
8.578750E+6,    -5.684793E-6,    -1.385584E-4
8.585000E+6,    -6.951392E-6,    -1.352131E-4
8.591250E+6,    -3.941357E-6,    -1.229271E-4
8.597500E+6,    3.583729E-6,    -1.241565E-4
8.603750E+6,    -5.602837E-6,    -1.417994E-4
8.610000E+6,    -1.467019E-5,    -1.373440E-4
8.616250E+6,    -1.803041E-6,    -1.329556E-4
8.622500E+6,    9.082258E-6,    -1.218691E-4
8.628750E+6,    -2.712011E-5,    -1.479089E-4
8.635000E+6,    -1.226366E-5,    -1.247674E-4
8.641250E+6,    -8.717179E-7,    -1.395941E-4
8.647500E+6,    -2.535433E-5,    -1.324341E-4
8.653750E+6,    2.309680E-7,    -1.463071E-4
8.660000E+6,    7.450581E-9,    -1.461208E-4
8.666250E+6,    -2.907962E-5,    -1.476556E-4
8.672500E+6,    -9.052455E-6,    -1.416132E-4
8.678750E+6,    -1.609325E-5,    -1.437068E-4
8.685000E+6,    -2.913177E-6,    -1.395345E-4
8.691250E+6,    -1.759827E-5,    -1.401976E-4
8.697500E+6,    -9.439886E-6,    -1.448691E-4
8.703750E+6,    -3.881752E-6,    -1.395866E-4
8.710000E+6,    -3.300607E-6,    -1.430660E-4
8.716250E+6,    -2.369285E-5,    -1.487285E-4
8.722500E+6,    -4.140288E-5,    -1.389384E-4
8.728750E+6,    1.135468E-5,    -1.460165E-4
8.735000E+6,    -2.396107E-5,    -1.520216E-4
8.741250E+6,    -3.185123E-5,    -1.505539E-4
8.747500E+6,    -1.248717E-5,    -1.412854E-4
8.753750E+6,    -2.277642E-5,    -1.330227E-4
8.760000E+6,    -5.885959E-7,    -1.343191E-4
8.766250E+6,    -1.247227E-5,    -1.446679E-4
8.772500E+6,    -1.238286E-5,    -1.480132E-4
8.778750E+6,    -1.451373E-5,    -1.412779E-4
8.785000E+6,    -7.994473E-6,    -1.394302E-4
8.791250E+6,    -7.301569E-6,    -1.429245E-4
8.797500E+6,    1.095235E-5,    -1.309067E-4
8.803750E+6,    -7.897615E-6,    -1.428202E-4
8.810000E+6,    -2.967566E-5,    -1.444668E-4
8.816250E+6,    -1.135468E-5,    -1.325086E-4
8.822500E+6,    -2.834946E-5,    -1.221970E-4
8.828750E+6,    -4.842877E-6,    -1.308694E-4
8.835000E+6,    -2.390146E-5,    -1.426637E-4
8.841250E+6,    -2.708286E-5,    -1.611114E-4
8.847500E+6,    1.127273E-5,    -1.414865E-4
8.853750E+6,    -1.744181E-5,    -1.442358E-4
8.860000E+6,    1.193583E-5,    -1.482889E-4
8.866250E+6,    -9.663403E-6,    -1.493245E-4
8.872500E+6,    -1.727045E-5,    -1.508594E-4
8.878750E+6,    -3.315508E-5,    -1.435280E-4
8.885000E+6,    -3.308058E-6,    -1.513362E-4
8.891250E+6,    -1.034886E-5,    -1.527369E-4
8.897500E+6,    1.616776E-6,    -1.428872E-4
8.903750E+6,    -5.528331E-6,    -1.445487E-4
8.910000E+6,    -6.578863E-6,    -1.410469E-4
8.916250E+6,    8.776784E-6,    -1.485273E-4
8.922500E+6,    -1.906604E-5,    -1.541376E-4
8.928750E+6,    -1.003593E-5,    -1.628995E-4
8.935000E+6,    -1.598895E-5,    -1.355335E-4
8.941250E+6,    -9.998679E-6,    -1.699850E-4
8.947500E+6,    -2.225488E-5,    -1.437888E-4
8.953750E+6,    -2.834946E-5,    -1.517609E-4
8.960000E+6,    -2.361834E-6,    -1.394227E-4
8.966250E+6,    -1.767278E-5,    -1.352206E-4
8.972500E+6,    -1.469254E-5,    -1.526177E-4
8.978750E+6,    -2.161413E-5,    -1.570955E-4
8.985000E+6,    -2.418458E-5,    -1.434758E-4
8.991250E+6,    -1.075864E-5,    -1.409575E-4
8.997500E+6,    -2.425164E-5,    -1.466423E-4
9.003750E+6,    -2.651662E-5,    -1.362488E-4
9.010000E+6,    -2.657622E-5,    -1.361519E-4
9.016250E+6,    -3.089756E-5,    -1.545772E-4
9.022500E+6,    1.512468E-6,    -1.384392E-4
9.028750E+6,    -2.763420E-5,    -1.361221E-4
9.035000E+6,    -2.633780E-5,    -1.463443E-4
9.041250E+6,    -2.638996E-5,    -1.463294E-4
9.047500E+6,    -2.547354E-5,    -1.565367E-4
9.053750E+6,    -2.174824E-5,    -1.382306E-4
9.060000E+6,    -3.251433E-5,    -1.609623E-4
9.066250E+6,    -4.738569E-5,    -1.595467E-4
9.072500E+6,    -1.862645E-7,    -1.453534E-4
9.078750E+6,    -1.350045E-5,    -1.509935E-4
9.085000E+6,    -5.424023E-6,    -1.637638E-4
9.091250E+6,    -1.379848E-5,    -1.545399E-4
9.097500E+6,    1.519918E-6,    -1.663938E-4
9.103750E+6,    -1.080334E-6,    -1.489669E-4
9.110000E+6,    -2.682209E-5,    -1.735091E-4
9.116250E+6,    -6.966293E-6,    -1.638383E-4
9.122500E+6,    -3.086030E-5,    -1.455322E-4
9.128750E+6,    -4.406273E-5,    -1.577288E-4
9.135000E+6,    -3.197789E-5,    -1.420304E-4
